shared name,IDs,cor,p_value,Extract,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17
10,313.179_1721.0,0.5141490934159657,0.05998763023082833,0.0008948249162151713,6.464336309393652e-10,0.0002849181269513849,0.0002773146807273975,1.615254405976451e-05,8.483036775412325e-06,0.0007767624489253725,0.0008033445830169315,0.0018632177566496068,0.001137872856994337,5.007212987976014e-05,0.00010360243809814498,0.00013894152957276177,6.266677264561646e-05
11,315.195_1687.0,-0.2143873814743324,0.4617306872537291,0.0006075624270848687,6.464336309393652e-10,0.14456057808262676,0.02564658631713951,0.001606978347747233,7.376078554495563e-05,1.556322401117628e-05,4.808855759510837e-05,5.210524316898958e-05,3.6804612778079654e-06,2.238773852663613e-05,3.9726346622099694e-05,4.5859023834046427e-05,1.1529767892189457e-05
12,315.195_1777.0,-0.2037285310575195,0.48480606951143884,9.56947447550952e-05,7.234579654153375e-05,0.02708919882160706,0.0033104373538816257,0.0001601149364541048,1.927597489503292e-06,3.209307113850251e-11,3.6218852871765346e-11,3.1477246112885163e-06,3.132689058663393e-11,2.9457701419473213e-11,1.0206781105771278e-06,2.0727237905868936e-06,1.845665318083017e-11
13,341.267_1509.0,-0.20539740443609977,0.481157749869592,1.669248844276141e-05,6.464336309393652e-10,1.221705197308997e-10,0.001456069807022368,0.01487605167350185,6.404971579966323e-06,3.209307113850251e-11,1.3794844269142102e-06,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,2.3828781921550337e-11,4.4327754900239545e-07
14,363.25_1511.0,-0.2072813694124951,0.47705488379085514,8.686752191301673e-06,6.464336309393652e-10,1.221705197308997e-10,0.0014494993491886007,0.013558588542596735,2.5019115662520596e-06,3.209307113850251e-11,8.10160066380453e-07,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,2.3828781921550337e-11,1.845665318083017e-11
15,383.165_564.0,0.22967343835426657,0.4295951260612496,8.354078440818946e-05,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,6.508912854536207e-06,0.0019603777899830153
16,383.22_1668.0,-0.1879532322910668,0.5199229485329279,0.00046801176737974325,1.9627238853596058e-05,3.305264712049877e-06,8.65046921084288e-10,0.017038017617377357,0.0029952797945671204,0.0003735818542007106,0.0024123714072597784,0.00010831252664346049,0.0003738379184969909,9.326786267743071e-06,1.709079736288636e-05,4.116404772486389e-05,2.6083212499008418e-05
17,383.222_1524.0,0.5347938638284354,0.04879327310590664,0.0007535001913775875,6.464336309393652e-10,6.433912848685031e-06,8.65046921084288e-10,0.00019377454972707993,9.168297976873235e-06,0.0001561584468675581,0.0017405034941462005,0.00010944486595804714,0.0013075682289878856,5.736630165088625e-05,5.6806163845408566e-05,3.64005566237072e-05,4.5159283418828146e-05
18,383.222_1615.0,-0.037574232106698,0.8985243128042772,0.0035515707295479064,1.5171128155909498e-05,6.781141748509933e-06,8.65046921084288e-10,0.00349153328374807,0.0026905724092660616,0.0042174616808021105,0.0256593773676775,0.0066013663498420095,0.001361264183537804,0.00018632671615856125,0.00030657472470294994,0.0002338040026436685,0.00017003823587904786
19,383.222_1698.0,-0.24298525808908186,0.4025608835880541,0.000850498923125742,6.464336309393652e-10,1.221705197308997e-10,0.0019789696458524034,0.017204628886055527,7.588846517538034e-05,0.0035708967456656074,0.009489177391145345,0.0004080751466307504,0.00019952777153732875,4.1344938439568366e-05,7.049159608318592e-05,7.832452960553086e-05,4.864645059951489e-05
20,383.222_1407.0,-0.06660297098399928,0.8210295805342768,0.001763109992836041,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,0.00061744347833101,5.321872581565488e-06,0.0031216820278164225,0.027460780218951316,0.003248733527977221,0.0004577064034280811,9.81875492049448e-05,0.00013384442323070874,6.0263009114517106e-05,8.204217755335998e-05
21,387.216_1361.0,0.28185581519885455,0.3289302608168314,0.00022306593593370488,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,8.622533426340307e-07,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,0.0005139817220478447,0.0013070053336523182,5.26860200984186e-05,1.424807053648555e-05,5.885184970763971e-06
22,393.166_642.0,0.22838725136674737,0.432254605627892,0.00011153203669752561,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,6.313558016056994e-07,5.624470476361241e-06,0.0029494264515804026
23,397.179_821.0,0.2113073267560971,0.46834334597328886,1.3635550888804313e-05,1.5955286243148642e-05,1.221705197308997e-10,2.1901430282659623e-05,3.423586237287528e-10,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,3.692995252221486e-05,0.0015202372954355155
24,397.18_672.0,0.17220764081132456,0.5560666488491579,4.3671971109067e-05,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,0.00135583827397669,0.005151533678648147
25,400.157_589.0,0.22865947689248542,0.4316910288388773,3.8140653086612646e-05,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,6.833694220675775e-07,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,2.4553498032459423e-06,0.000986869007082709
26,400.175_809.0,0.22595444030793385,0.43730753983575016,0.0001236223715666015,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.672463249685732e-11,3.209307113850251e-11,3.6218852871765346e-11,2.981473128840779e-11,3.132689058663393e-11,2.9457701419473213e-11,2.5464854257300468e-11,9.190969688983779e-07,0.004257120175510772
27,401.232_1290.0,0.9115338972438342,5.70642706988181e-06,0.009569529188866593,1.9601087329341716e-05,2.6018496667677648e-05,8.65046921084288e-10,5.6273937663187385e-05,1.0824349443305196e-06,9.345600099910384e-07,0.0006857910326979178,4.297534115135882e-05,0.02146228584429576,0.001072095081622864,0.001347697204138913,0.0006499446775602742,0.0004493751964350565
28,401.232_1411.0,0.156482370780623,0.5931858904199149,0.0018671913345362423,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,3.423586237287528e-10,3.672463249685732e-11,0.005621214990496781,0.00509405212693027,0.0005307523351988071,0.0022044697957535157,0.00011864101006207242,0.0001834621404114992,0.00014903336852305693,9.411408616694747e-05
29,401.232_1619.0,0.6400737727495935,0.013679735240913144,0.01046218651763238,6.464336309393652e-10,1.221705197308997e-10,8.65046921084288e-10,4.2341552508987644e-05,3.672463249685732e-11,0.011048363770331547,0.009565303182995331,0.0009458749273101098,0.014706039658010827,0.0005263175942798666,0.001223849279145179,0.0007493568318863784,0.00023805744975936312
